method,seed,domain,threshold,mean_active_fraction,std_active_fraction,min_active_fraction,max_active_fraction
harder_gate_clipping,1337,nih,0.1,0.0,0.0,0.0,0.0
harder_gate_clipping,1337,chexpert,0.1,0.0,0.0,0.0,0.0
labelwise_trust_region,1337,nih,0.1,1.0,0.0,1.0,1.0
labelwise_trust_region,1337,chexpert,0.1,1.0,0.0,1.0,1.0
harder_gate_clipping,2027,nih,0.1,0.0,0.0,0.0,0.0
harder_gate_clipping,2027,chexpert,0.1,0.0,0.0,0.0,0.0
labelwise_trust_region,2027,nih,0.1,1.0,0.0,1.0,1.0
labelwise_trust_region,2027,chexpert,0.1,1.0,0.0,1.0,1.0
harder_gate_clipping,31415,nih,0.1,0.0,0.0,0.0,0.0
harder_gate_clipping,31415,chexpert,0.1,0.0,0.0,0.0,0.0
labelwise_trust_region,31415,nih,0.1,1.0,0.0,1.0,1.0
labelwise_trust_region,31415,chexpert,0.1,1.0,0.0,1.0,1.0
