method,seed,domain,label_index,label_name,source_only_auroc,harder_gate_clipping_auroc,delta_auroc
harder_gate_clipping,1337,nih,0,atelectasis,0.797664274658787,0.7967442716281888,-0.0009200030305981377
harder_gate_clipping,1337,nih,1,cardiomegaly,0.8679439098370982,0.8653952379567986,-0.0025486718802996133
harder_gate_clipping,1337,nih,2,consolidation,0.8085547868351461,0.8068350333519405,-0.0017197534832056327
harder_gate_clipping,1337,nih,3,edema,0.9023303347553803,0.9003814571425177,-0.001948877612862554
harder_gate_clipping,1337,nih,4,pleural_effusion,0.8659899876211452,0.8661349223886199,0.00014493476747468037
harder_gate_clipping,1337,nih,5,pneumonia,0.8137677484787018,0.8080628803245435,-0.005704868154158271
harder_gate_clipping,1337,nih,6,pneumothorax,0.8570518350615446,0.8572379067498913,0.00018607168834672283
harder_gate_clipping,1337,chexpert,0,atelectasis,0.861525974025974,0.8626623376623377,0.001136363636363713
harder_gate_clipping,1337,chexpert,1,cardiomegaly,0.739280652019844,0.7596562721474134,0.020375620127569327
harder_gate_clipping,1337,chexpert,2,consolidation,0.9050203527815468,0.903663500678426,-0.0013568521031207537
harder_gate_clipping,1337,chexpert,3,edema,0.861845972957084,0.8632569077013522,0.001410934744268233
harder_gate_clipping,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9098221467512735,0.005451783001161781
harder_gate_clipping,1337,chexpert,5,pneumonia,0.8987831858407079,0.9065265486725663,0.007743362831858391
harder_gate_clipping,1337,chexpert,6,pneumothorax,0.7793141592920354,0.7771017699115045,-0.0022123893805309214
