method,seed,domain,label_index,label_name,source_only_auroc,candidate_auroc,delta_auroc
harder_gate_clipping,1337,nih,0,atelectasis,0.797664274658787,0.7967145068242578,-0.0009497678345291583
harder_gate_clipping,1337,nih,1,cardiomegaly,0.8679439098370982,0.8624395538370594,-0.005504356000038846
harder_gate_clipping,1337,nih,2,consolidation,0.8085547868351461,0.8057637115099435,-0.002791075325202619
harder_gate_clipping,1337,nih,3,edema,0.9023303347553803,0.8963648679160081,-0.005965466839372158
harder_gate_clipping,1337,nih,4,pleural_effusion,0.8659899876211452,0.8653698568947369,-0.0006201307264083189
harder_gate_clipping,1337,nih,5,pneumonia,0.8137677484787018,0.8006737177629673,-0.013094030715734561
harder_gate_clipping,1337,nih,6,pneumothorax,0.8570518350615446,0.8576889896307323,0.0006371545691876701
harder_gate_clipping,1337,chexpert,0,atelectasis,0.861525974025974,0.8646103896103896,0.003084415584415634
harder_gate_clipping,1337,chexpert,1,cardiomegaly,0.739280652019844,0.7694897236002836,0.030209071580439506
harder_gate_clipping,1337,chexpert,2,consolidation,0.9050203527815468,0.9030604552992613,-0.001959897482285533
harder_gate_clipping,1337,chexpert,3,edema,0.861845972957084,0.8549088771310994,-0.006937095825984563
harder_gate_clipping,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9110733756367861,0.006703011886674437
harder_gate_clipping,1337,chexpert,5,pneumonia,0.8987831858407079,0.9087389380530972,0.009955752212389313
harder_gate_clipping,1337,chexpert,6,pneumothorax,0.7793141592920354,0.7748893805309734,-0.004424778761061954
topk_labelwise_trust_region_k1,1337,nih,0,atelectasis,0.797664274658787,0.7890433050838284,-0.008620969574958615
topk_labelwise_trust_region_k1,1337,nih,1,cardiomegaly,0.8679439098370982,0.8665581300694829,-0.001385779767615336
topk_labelwise_trust_region_k1,1337,nih,2,consolidation,0.8085547868351461,0.8092257726203969,0.0006709857852507106
topk_labelwise_trust_region_k1,1337,nih,3,edema,0.9023303347553803,0.7162006393269242,-0.18612969542845603
topk_labelwise_trust_region_k1,1337,nih,4,pleural_effusion,0.8659899876211452,0.8615088897284018,-0.004481097892743424
topk_labelwise_trust_region_k1,1337,nih,5,pneumonia,0.8137677484787018,0.7959287163141119,-0.01783903216458993
topk_labelwise_trust_region_k1,1337,nih,6,pneumothorax,0.8570518350615446,0.8390705437240276,-0.017981291337517025
topk_labelwise_trust_region_k1,1337,chexpert,0,atelectasis,0.861525974025974,0.8530844155844157,-0.00844155844155825
topk_labelwise_trust_region_k1,1337,chexpert,1,cardiomegaly,0.739280652019844,0.7402551381998583,0.0009744861800142779
topk_labelwise_trust_region_k1,1337,chexpert,2,consolidation,0.9050203527815468,0.9050203527815468,0.0
topk_labelwise_trust_region_k1,1337,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
topk_labelwise_trust_region_k1,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9110733756367861,0.006703011886674437
topk_labelwise_trust_region_k1,1337,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
topk_labelwise_trust_region_k1,1337,chexpert,6,pneumothorax,0.7793141592920354,0.793141592920354,0.01382743362831862
topk_labelwise_trust_region_k2,1337,nih,0,atelectasis,0.797664274658787,0.796489917849141,-0.001174356809645949
topk_labelwise_trust_region_k2,1337,nih,1,cardiomegaly,0.8679439098370982,0.8669360700061051,-0.0010078398309931735
topk_labelwise_trust_region_k2,1337,nih,2,consolidation,0.8085547868351461,0.807094406008424,-0.001460380826722174
topk_labelwise_trust_region_k2,1337,nih,3,edema,0.9023303347553803,0.8735725065655785,-0.02875782818980177
topk_labelwise_trust_region_k2,1337,nih,4,pleural_effusion,0.8659899876211452,0.8634476892408507,-0.0025422983802945165
topk_labelwise_trust_region_k2,1337,nih,5,pneumonia,0.8137677484787018,0.8071935670820052,-0.006574181396696632
topk_labelwise_trust_region_k2,1337,nih,6,pneumothorax,0.8570518350615446,0.8593354421458013,0.002283607084256678
topk_labelwise_trust_region_k2,1337,chexpert,0,atelectasis,0.861525974025974,0.8573051948051948,-0.004220779220779125
topk_labelwise_trust_region_k2,1337,chexpert,1,cardiomegaly,0.739280652019844,0.7341424521615876,-0.005138199858256476
topk_labelwise_trust_region_k2,1337,chexpert,2,consolidation,0.9050203527815468,0.9071310116086235,0.002110658827076728
topk_labelwise_trust_region_k2,1337,chexpert,3,edema,0.861845972957084,0.8610229276895943,-0.0008230452674896638
topk_labelwise_trust_region_k2,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9217088211636428,0.017338457413531128
topk_labelwise_trust_region_k2,1337,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
topk_labelwise_trust_region_k2,1337,chexpert,6,pneumothorax,0.7793141592920354,0.7710176991150441,-0.00829646017699126
tiny_logit_correction,1337,nih,0,atelectasis,0.797664274658787,0.797664274658787,0.0
tiny_logit_correction,1337,nih,1,cardiomegaly,0.8679439098370982,0.8679439098370982,0.0
tiny_logit_correction,1337,nih,2,consolidation,0.8085547868351461,0.8085547868351461,0.0
tiny_logit_correction,1337,nih,3,edema,0.9023303347553803,0.9023303347553803,0.0
tiny_logit_correction,1337,nih,4,pleural_effusion,0.8659899876211452,0.8659899876211452,0.0
tiny_logit_correction,1337,nih,5,pneumonia,0.8137677484787018,0.8137677484787018,0.0
tiny_logit_correction,1337,nih,6,pneumothorax,0.8570518350615446,0.8570518350615446,0.0
tiny_logit_correction,1337,chexpert,0,atelectasis,0.861525974025974,0.861525974025974,0.0
tiny_logit_correction,1337,chexpert,1,cardiomegaly,0.739280652019844,0.739280652019844,0.0
tiny_logit_correction,1337,chexpert,2,consolidation,0.9050203527815468,0.9050203527815468,0.0
tiny_logit_correction,1337,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
tiny_logit_correction,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9043703637501117,0.0
tiny_logit_correction,1337,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
