method,seed,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,average_macro_ece,average_brier_score
source_only,1337,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
harder_gate_clipping,1337,0.840716457767958,0.8552530199802701,0.8479847388741141,0.004041096124585253,0.06421146987226106,0.07928380696102977
topk_labelwise_trust_region_k1,1337,0.8110765709810249,0.8518862905601076,0.8314814307705662,0.03368098291151833,0.06356126154447202,0.08710528451151081
topk_labelwise_trust_region_k2,1337,0.839152799842558,0.8501587560549135,0.8446557779487358,0.005604754049985283,0.0636820918275285,0.08536790271422692
tiny_logit_correction,1337,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06407062964483706,0.08770023964877639
source_only,2027,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
harder_gate_clipping,2027,0.8420555169585534,0.8546693259980335,0.8483624214782934,0.0027020369339898487,0.06514055408234616,0.07931956063423838
topk_labelwise_trust_region_k1,2027,0.843814685072689,0.8454397031167024,0.8446271940946957,0.0009428688198542812,0.06518595362826612,0.08767977263778448
topk_labelwise_trust_region_k2,2027,0.8421744128191497,0.8517237625844061,0.8469490877017779,0.0025831410733935245,0.06285054311424584,0.08505497606737272
tiny_logit_correction,2027,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06409753207747468,0.08770767233467527
source_only,31415,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06520384586713093,0.08818298212385603
harder_gate_clipping,31415,0.8399693679809213,0.8558113398023262,0.8478903538916237,0.0047881859116220005,0.061016039615839124,0.07829391131443637
topk_labelwise_trust_region_k1,31415,0.814053888418986,0.8506127374751579,0.8323333129470719,0.030703665473557296,0.062021504743885236,0.08663214357303722
topk_labelwise_trust_region_k2,31415,0.8144146065469003,0.8537208866465031,0.8340677465967017,0.030342947345642912,0.06331918804751373,0.08478195825591683
tiny_logit_correction,31415,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.06406711383842066,0.08769925238032426
