method,seed,domain,selected_label_count,num_samples,fraction
topk_labelwise_trust_region_k1,1337,nih,1,2000,1.0
topk_labelwise_trust_region_k1,1337,chexpert,1,234,1.0
topk_labelwise_trust_region_k2,1337,nih,2,2000,1.0
topk_labelwise_trust_region_k2,1337,chexpert,2,234,1.0
topk_labelwise_trust_region_k1,2027,nih,1,2000,1.0
topk_labelwise_trust_region_k1,2027,chexpert,1,234,1.0
topk_labelwise_trust_region_k2,2027,nih,2,2000,1.0
topk_labelwise_trust_region_k2,2027,chexpert,2,234,1.0
topk_labelwise_trust_region_k1,31415,nih,1,2000,1.0
topk_labelwise_trust_region_k1,31415,chexpert,1,234,1.0
topk_labelwise_trust_region_k2,31415,nih,2,2000,1.0
topk_labelwise_trust_region_k2,31415,chexpert,2,234,1.0
