method,seed,domain,metric,label_index,label_name,mean,std,min,max
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,0,atelectasis,0.3140000104904175,0.4641163945198059,0.0,1.0
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,1,cardiomegaly,0.2304999977350235,0.42115285992622375,0.0,1.0
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,2,consolidation,0.02449999935925007,0.15459544956684113,0.0,1.0
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,3,edema,0.052000001072883606,0.22202704846858978,0.0,1.0
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,4,pleural_effusion,0.2094999998807907,0.40695178508758545,0.0,1.0
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,5,pneumonia,0.06750000268220901,0.250885933637619,0.0,1.0
topk_labelwise_trust_region_k1,1337,nih,selection_frequency,6,pneumothorax,0.10199999809265137,0.30264830589294434,0.0,1.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,0,atelectasis,0.2222222238779068,0.41573968529701233,0.0,1.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,1,cardiomegaly,0.10256410390138626,0.30338871479034424,0.0,1.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,2,consolidation,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,3,edema,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,4,pleural_effusion,0.4615384638309479,0.49851852655410767,0.0,1.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,5,pneumonia,0.025641025975346565,0.15806187689304352,0.0,1.0
topk_labelwise_trust_region_k1,1337,chexpert,selection_frequency,6,pneumothorax,0.18803419172763824,0.39073947072029114,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,0,atelectasis,0.7164999842643738,0.4506969749927521,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,1,cardiomegaly,0.2840000092983246,0.45093682408332825,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,2,consolidation,0.08449999988079071,0.2781362235546112,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,3,edema,0.10649999976158142,0.3084764778614044,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,4,pleural_effusion,0.5400000214576721,0.49839743971824646,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,5,pneumonia,0.10599999874830246,0.3078376352787018,0.0,1.0
topk_labelwise_trust_region_k2,1337,nih,selection_frequency,6,pneumothorax,0.16249999403953552,0.3689088523387909,0.0,1.0
topk_labelwise_trust_region_k2,1337,chexpert,selection_frequency,0,atelectasis,0.692307710647583,0.46153849363327026,0.0,1.0
topk_labelwise_trust_region_k2,1337,chexpert,selection_frequency,1,cardiomegaly,0.17521367967128754,0.380149781703949,0.0,1.0
