method,domain,metric,label_index,label_name,num_rows,mean_mean,mean_std,mean_min,mean_max,std_mean,std_std,std_min,std_max
topk_labelwise_trust_region_k1,nih,selection_frequency,0,atelectasis,3,0.3294999996821086,0.011276813004377982,0.3140000104904175,0.34049999713897705,0.46987783908843994,0.004175123380975628,0.4641163945198059,0.4738774001598358
topk_labelwise_trust_region_k1,nih,selection_frequency,1,cardiomegaly,3,0.24049999316533408,0.0410304727090901,0.19599999487400055,0.29499998688697815,0.4247213800748189,0.02424860943508828,0.3969685137271881,0.4560427665710449
topk_labelwise_trust_region_k1,nih,selection_frequency,2,consolidation,3,0.017833333152035873,0.004988876171875843,0.012500000186264515,0.02449999935925007,0.1310286894440651,0.017941585032479366,0.11110242456197739,0.15459544956684113
topk_labelwise_trust_region_k1,nih,selection_frequency,3,edema,3,0.05100000028808912,0.004143268385613104,0.045499999076128006,0.05550000071525574,0.21979289750258127,0.008539176060028728,0.20839804410934448,0.22895359992980957
topk_labelwise_trust_region_k1,nih,selection_frequency,4,pleural_effusion,3,0.18466666340827942,0.01928010152724378,0.16249999403953552,0.2094999998807907,0.38723504543304443,0.015562056372998435,0.3689088523387909,0.40695178508758545
topk_labelwise_trust_region_k1,nih,selection_frequency,5,pneumonia,3,0.08149999876817067,0.04359663321828814,0.0364999994635582,0.1404999941587448,0.26197387278079987,0.06577820037125563,0.18753065168857574,0.34750503301620483
topk_labelwise_trust_region_k1,nih,selection_frequency,6,pneumothorax,3,0.0949999988079071,0.010977250405473362,0.0794999971985817,0.10350000113248825,0.29259222745895386,0.015629697000726715,0.2705175578594208,0.30461081862449646
topk_labelwise_trust_region_k1,chexpert,selection_frequency,0,atelectasis,3,0.22649572789669037,0.006043647342219649,0.2222222238779068,0.2350427359342575,0.4185016254583995,0.0039059732346966077,0.41573968529701233,0.4240255057811737
topk_labelwise_trust_region_k1,chexpert,selection_frequency,1,cardiomegaly,3,0.10968661308288574,0.019841011147071364,0.08974359184503555,0.1367521435022354,0.31092941761016846,0.024180316981476192,0.2858140468597412,0.3435854911804199
topk_labelwise_trust_region_k1,chexpert,selection_frequency,2,consolidation,3,0.0014245014948149521,0.0020145493335880526,0.0,0.004273504484444857,0.021744067470232647,0.03075075511755864,0.0,0.06523220241069794
topk_labelwise_trust_region_k1,chexpert,selection_frequency,3,edema,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,chexpert,selection_frequency,4,pleural_effusion,3,0.437321941057841,0.021032510228178584,0.41025641560554504,0.4615384638309479,0.4956021010875702,0.002769283989714517,0.4918802082538605,0.49851852655410767
topk_labelwise_trust_region_k1,chexpert,selection_frequency,5,pneumonia,3,0.035612535973389946,0.017212316049304798,0.021367521956562996,0.05982905998826027,0.17994597057501474,0.040834567928733384,0.14460618793964386,0.23716984689235687
topk_labelwise_trust_region_k1,chexpert,selection_frequency,6,pneumothorax,3,0.18945869306723276,0.005329995959763222,0.18376068770885468,0.19658119976520538,0.3918137550354004,0.004202356506915532,0.3872888684272766,0.3974129259586334
topk_labelwise_trust_region_k2,nih,selection_frequency,0,atelectasis,3,0.7356666723887125,0.013591270415516015,0.7164999842643738,0.7465000152587891,0.4407111406326294,0.00708438198456502,0.43501463532447815,0.4506969749927521
topk_labelwise_trust_region_k2,nih,selection_frequency,1,cardiomegaly,3,0.31166666746139526,0.05199412160769871,0.26649999618530273,0.38449999690055847,0.45984745025634766,0.019170122218079868,0.44212865829467773,0.486476868391037
topk_labelwise_trust_region_k2,nih,selection_frequency,2,consolidation,3,0.08266666531562805,0.005265191059991323,0.0754999965429306,0.08799999952316284,0.2752091884613037,0.008066958759836922,0.2641964256763458,0.2832949161529541
topk_labelwise_trust_region_k2,nih,selection_frequency,3,edema,3,0.09033333261807759,0.012690767738595761,0.0754999965429306,0.10649999976158142,0.28580554326375324,0.018092841068597827,0.2641964256763458,0.3084764778614044
topk_labelwise_trust_region_k2,nih,selection_frequency,4,pleural_effusion,3,0.49766666690508526,0.03717601750974166,0.4494999945163727,0.5400000214576721,0.4986094534397125,0.0010495588847606017,0.49744319915771484,0.49998772144317627
topk_labelwise_trust_region_k2,nih,selection_frequency,5,pneumonia,3,0.12533333400885263,0.042279492772388204,0.0860000029206276,0.18400000035762787,0.32522861162821454,0.045427707539024746,0.2803640365600586,0.3874841630458832
topk_labelwise_trust_region_k2,nih,selection_frequency,6,pneumothorax,3,0.15666666626930237,0.0158552446191059,0.13500000536441803,0.17249999940395355,0.36281562844912213,0.015351090884776894,0.34172356128692627,0.37781447172164917
topk_labelwise_trust_region_k2,chexpert,selection_frequency,0,atelectasis,3,0.6894587079683939,0.01756243201008909,0.6666666865348816,0.7094017267227173,0.4623271624247233,0.0071115603788013656,0.45403847098350525,0.4714045226573944
topk_labelwise_trust_region_k2,chexpert,selection_frequency,1,cardiomegaly,3,0.17094017565250397,0.015989987879289666,0.14957265555858612,0.18803419172763824,0.37584711114565533,0.014244841887575264,0.35665205121040344,0.3907395005226135
topk_labelwise_trust_region_k2,chexpert,selection_frequency,2,consolidation,3,0.028490029275417328,0.004029099106205777,0.025641025975346565,0.03418803587555885,0.16594522694746652,0.011148730027189236,0.15806187689304352,0.18171191215515137
